sweep,batch_size,seq_len,total_tokens,native_median_ttft_ms,splitzip_observed_median_ttft_ms,observed_ttft_speedup,native_kv_transfer_ms_sum,splitzip_observed_kv_transfer_ms_sum,splitzip_projected_kv_stage_ms_sum_from_native,projected_kv_stage_speedup,native_failed_events,splitzip_failed_events
bs16_seq,16,128,2064,509.5247928984463,399.8103919439018,1.2744160811356269,477.72370325401425,441.8187921401113,361.56932337089626,1.3212506492536904,0,0
bs16_seq,16,256,4112,594.61236349307,550.6018354790285,1.0799316768999725,813.4688944555819,789.0517641790211,616.2048359850446,1.3201274104822587,0,0
bs16_seq,16,512,8208,918.786799069494,894.7389898821712,1.0268768986925334,1471.5049827937037,1443.3607428800315,1114.3448409427249,1.320511325335185,0,0
bs16_seq,16,1024,16400,1691.4015129441395,1872.6120826322585,0.9032311222549636,3046.2846567388624,2721.9938270282,2307.3770157559547,1.3202370639636551,0,0
bs16_seq,16,2048,32784,3405.769075616263,4542.700446094386,0.7497234554711599,4769.233231199905,5925.246202154085,3613.6447401178193,1.319784753120034,0,0
bs16_seq,16,4096,65552,6653.001322876662,8420.388555969112,0.7901062140606837,12382.07263033837,12619.78856078349,9377.057716526142,1.32046458544413,0,0
bs16_seq,16,8192,131088,16679.110955563374,17013.240940403193,0.9803605917290971,26158.136662794277,24936.90704088658,19808.63800531345,1.3205419098363878,0,0
bs16_seq,16,16384,262160,31334.061389556155,27833.953913883306,1.1257495606445993,46516.1747217644,42549.91672793403,35226.05623655256,1.3205047539070403,0,0
bs16_seq,16,32768,524304,60582.57213700563,54221.66294162162,1.1173130599523027,92395.25918941945,86100.88562313467,69961.76529063252,1.3206536285297341,0,0
bs16_seq,16,65536,1048592,85880.60649693944,86557.58195510134,0.9921789005322138,204696.50201150216,204510.86372486316,154974.95242077296,1.32083603714057,0,0
bs1_seq,1,512,513,171.11590690910816,131.2802949687466,1.3034393847899646,1701.485823141411,1390.2006461285055,1288.105155848174,1.3209215221415984,0,0
bs1_seq,1,1024,1025,291.29353363532573,248.45059809740633,1.172440460461772,2998.150527710095,2881.027619121596,2271.0096322596037,1.3201839768187167,0,0
bs1_seq,1,2048,2049,350.2267454750836,359.7066319780424,0.9736455053641115,4989.295737352222,5012.968241237104,3779.911331326447,1.3199504697379707,0,0
bs1_seq,1,4096,4097,985.8547585317865,917.6781105343252,1.0742925511841672,10351.854267995805,9238.536947639659,7843.141319690148,1.3198607351377887,0,0
bs1_seq,1,8192,8193,1764.7833763621747,1683.7053284980357,1.0481545354117667,20977.324820822105,18792.95396269299,15894.314117436854,1.3198005692997432,0,0
bs1_seq,1,16384,16385,3380.192142445594,2734.3809680314735,1.2361818568679737,39362.50751465559,33036.63104120642,29821.156138106588,1.3199524301593628,0,0
bs1_seq,1,32768,32769,4864.453766494989,4807.375332457013,1.0118730970832692,72665.00297142193,75899.27792199887,55054.71682337258,1.3198687989722468,0,0
bs1_seq,1,65536,65537,12072.034188429825,12254.981003003195,0.9850716362164464,184107.26414527744,180284.90250417963,139418.90675240575,1.3205329781579325,0,0
bs1_seq,1,131072,131073,27273.70427211281,26086.337282904424,1.0455168150412024,483877.69535928965,480020.81301272847,366237.86370464053,1.3212115494140224,0,0
seq1024_bs,1,1024,1025,247.88902909494936,248.55758633930236,0.9973102521061644,2568.080907687545,2777.872406411916,1946.0737267580735,1.319621591092369,0,0
seq1024_bs,2,1024,2050,363.50418149959296,405.12558596674353,0.8972629576879717,2617.4079179763794,2854.278185637668,1983.3423828260036,1.3196954497825613,0,0
seq1024_bs,4,1024,4100,711.5269619971514,739.221170078963,0.9625359646033225,2799.3429098278284,2952.919214963913,2120.802013935414,1.3199454222665965,0,0
seq1024_bs,8,1024,8200,1468.36322452873,1573.3383994083852,0.9332787053826891,2894.1104006953537,2974.477620096877,2192.4028874301116,1.320063213421402,0,0
seq1024_bs,16,1024,16400,1709.423172986135,1965.1119079208001,0.8698859164691549,2640.1936234906316,2984.1141519136727,2000.5579533035846,1.3197286382685371,0,0
seq1024_bs,32,1024,32800,5069.223678554408,4930.219069472514,1.028194408224697,5448.1433015316725,5659.940863726661,4127.060488279956,1.320102604990485,0,0
seq1024_bs,64,1024,65600,9166.570125031285,8846.446270123124,1.0361867178224218,12221.845293650404,12058.070251718163,9255.338977084653,1.320518386621013,0,0
seq1024_bs,128,1024,131200,16070.56152250152,16348.048877087422,0.9830262708001312,23510.552255203947,25333.226992283016,17804.488443498845,1.3204845693720912,0,0
seq1024_bs,256,1024,262400,31136.99787540827,29233.615693519823,1.0651093659382806,50676.08895921148,45532.93651272543,38370.71654487987,1.3206969669158712,0,0
seq32768_bs,1,32768,32769,4788.4166076546535,5248.901950428262,0.9122701572400228,74115.75186578557,80774.09646147862,56150.81936979443,1.3199407007345494,0,0
seq32768_bs,2,32768,65538,9916.828838991933,10056.31162901409,0.9861298262058897,84852.76718600653,85678.35797532462,64263.09150674953,1.3203965946315308,0,0
seq32768_bs,4,32768,131076,21529.155684402213,19866.38310656417,1.0836978008990794,91796.13255918957,84338.00834277645,69509.09961735475,1.3206347523493212,0,0
seq32768_bs,8,32768,262152,34535.092472448014,36535.188947455026,0.9452556143097124,81936.55483284965,87487.38176049665,62059.768934097,1.3202845618046106,0,0
seq32768_bs,16,32768,524304,57055.1257324405,49217.15757949278,1.1592527593713287,91398.86147645302,80457.31916697696,69208.94440296921,1.320622099714207,0,0
seq32768_bs,32,32768,1048608,95805.29901897535,96024.59919347893,0.997716208384669,201069.53907199204,202572.78717588633,152255.70001912117,1.3206043454973477,0,0
seq32768_bs,64,32768,2097216,194867.53114697058,184396.9038964715,1.0567830968375573,393531.29734727554,382460.8279846143,297999.83137818903,1.3205755705540931,0,0
seq32768_bs,128,32768,4194432,301325.43068099767,320076.9735504873,0.9414155205809209,688571.8327211216,702424.8187341727,521473.15499555523,1.3204358194181456,0,0
